"","names","short.names"
"1","Medication.supplementation...Vitamin.B","Medication.sV.B"
"2","Medication.supplementation...B12","Medication.s.B12"
"3","Vitamin.Supplements...Vitamin.B","Vitamin.SV.B"
"4","Vitamin.Supplements...Folic.Acid","Vitamin.SF.Acid"
"5","Alcohol.intake.frequency","Alcohol.i.frequency"
"6","Getting.up.in.the.morning","Getting.uit.morning"
"7","Frequency.of.tiredness.in.last.2.weeks","Frequency.otil2.weeks"
"8","Frequency.of.depressed.mood.in.the.last.2.weeks","Frequency.odmitl2.weeks"
"9","Body.mass.index..BMI.","Body.mi.BMI"
"10","Self.reported.hypertension","Self.r.hypertension"
"11","Diastolic.blood.pressure","Diastolic.b.pressure"
"12","Systolic.blood.pressure","Systolic.b.pressure"
"13","Hearing.difficulty","Hearing.difficulty"
"14","Hearing.difficulty.with.background.noise","Hearing.dwb.noise"
"15","Fluid.intelligence.score","Fluid.i.score"
"16","Age","Age"
"17","Social.Economic.Status","Social.E.Status"
"18","Gender","Gender"
"19","Married","Married"
"20","Inflammation.immuno.response...Asthma","Inflammation.ir.Asthma"
"21","Inflammation.immuno.response...Hayfever","Inflammation.ir.Hayfever"
"22","Cholesterol.or.blood.pressure.medication...Cholesterol","Cholesterol.obpm.Cholesterol"
"23","Cholesterol.or.blood.pressure.medication...Blood","Cholesterol.obpm.Blood"
"24","IDP_SWI_T2star_left_putamen","IDP.1"
"25","rfMRI.connectivity..ICA25.edge.65.","rfMRI.1"
"26","IDP_dMRI_ProbtrackX_ISOVF_slf_r","IDP.2"
"27","rfMRI.connectivity..ICA100.edge.387.","rfMRI.2"
"28","IDP_dMRI_TBSS_OD_Inferior_cerebellar_peduncle_R","IDP.3"
"29","rfMRI.connectivity..ICA100.edge.953.","rfMRI.3"
"30","rfMRI.connectivity..ICA25.edge.145.","rfMRI.4"
"31","rfMRI.connectivity..ICA25.edge.103.","rfMRI.5"
"32","IDP_dMRI_TBSS_MD_Superior_longitudinal_fasciculus_R","IDP.4"
"33","IDP_dMRI_TBSS_FA_Cingulum_cingulate_gyrus_R","IDP.5"
"34","IDP_dMRI_ProbtrackX_L3_ar_r","IDP.6"
"35","rfMRI.amplitudes..ICA100.node.15.","rfMRI.6"
"36","rfMRI.connectivity..ICA100.edge.927.","rfMRI.7"
"37","rfMRI.connectivity..ICA25.edge.196.","rfMRI.8"
"38","IDP_T1_SIENAX_brain.unnormalised_volume","IDP.7"
"39","IDP_dMRI_TBSS_FA_Inferior_cerebellar_peduncle_L","IDP.8"
"40","IDP_dMRI_TBSS_FA_Fornix_cres.Stria_terminalis_R","IDP.9"
"41","IDP_dMRI_ProbtrackX_ICVF_ifo_r","IDP.10"
"42","rfMRI.connectivity..ICA25.edge.186.","rfMRI.9"
"43","IDP_T1_SIENAX_CSF_unnormalised_volume","IDP.11"
