"","names","short.names"
"1","Oily.fish.intake","Oily.f.intake"
"2","Medication.supplementation...Vitamin.B","Medication.sV.B"
"3","Vitamin.Supplements...Vitamin.B","Vitamin.SV.B"
"4","Vitamin.Supplements...Folic.Acid","Vitamin.SF.Acid"
"5","Current.tobacco.smoking","Current.t.smoking"
"6","Past.tobacco.smoking","Past.t.smoking"
"7","Alcohol.intake.frequency","Alcohol.i.frequency"
"8","Number.of.days.week.walked.10..minutes","Number.odww1.minutes"
"9","Number.of.days.week.of.moderate.physical.activity.10..minutes","Number.odwompa1.minutes"
"10","Number.of.days.week.of.vigorous.physical.activity.10..minutes","Number.odwovpa1.minutes"
"11","Getting.up.in.the.morning","Getting.uit.morning"
"12","Frequency.of.tiredness.in.last.2.weeks","Frequency.otil2.weeks"
"13","Frequency.of.depressed.mood.in.the.last.2.weeks","Frequency.odmitl2.weeks"
"14","Body.mass.index..BMI.","Body.mi.BMI"
"15","Self.reported.hypertension","Self.r.hypertension"
"16","Diastolic.blood.pressure","Diastolic.b.pressure"
"17","Systolic.blood.pressure","Systolic.b.pressure"
"18","Frequency.of.family.visits","Frequency.of.visits"
"19","Hearing.on.left.ear","Hearing.ol.ear"
"20","Hearing.on.right.ear","Hearing.or.ear"
"21","Hearing.difficulty","Hearing.difficulty"
"22","Hearing.difficulty.with.background.noise","Hearing.dwb.noise"
"23","Fluid.intelligence.score","Fluid.i.score"
"24","Mean.time.to.correctly.identify.matches","Mean.ttci.matches"
"25","Pairs.matching.test","Pairs.m.test"
"26","Age","Age"
"27","Education","Education"
"28","Social.Economic.Status","Social.E.Status"
"29","Gender","Gender"
"30","Married","Married"
"31","Inflammation.immuno.response...Asthma","Inflammation.ir.Asthma"
"32","Inflammation.immuno.response...Hayfever","Inflammation.ir.Hayfever"
"33","Cholesterol.or.blood.pressure.medication...Cholesterol","Cholesterol.obpm.Cholesterol"
"34","Cholesterol.or.blood.pressure.medication...Blood","Cholesterol.obpm.Blood"
"35","IDP_SWI_T2star_left_putamen","IDP.1"
"36","rfMRI.connectivity..ICA25.edge.65.","rfMRI.1"
"37","rfMRI.connectivity..ICA25.edge.128.","rfMRI.2"
"38","IDP_dMRI_ProbtrackX_ISOVF_slf_r","IDP.2"
"39","rfMRI.connectivity..ICA100.edge.387.","rfMRI.3"
"40","IDP_dMRI_TBSS_OD_Inferior_cerebellar_peduncle_R","IDP.3"
"41","rfMRI.connectivity..ICA100.edge.953.","rfMRI.4"
"42","rfMRI.connectivity..ICA25.edge.145.","rfMRI.5"
"43","rfMRI.connectivity..ICA25.edge.103.","rfMRI.6"
"44","IDP_dMRI_ProbtrackX_MD_fma","IDP.4"
"45","IDP_tfMRI_median_zstat_faces.shapes_amygdala","IDP.5"
"46","IDP_dMRI_ProbtrackX_MO_ml_l","IDP.6"
"47","IDP_dMRI_ProbtrackX_OD_ilf_r","IDP.7"
"48","IDP_SWI_T2star_right_amygdala","IDP.8"
"49","IDP_dMRI_ProbtrackX_MD_ifo_r","IDP.9"
"50","IDP_dMRI_TBSS_MD_Superior_longitudinal_fasciculus_R","IDP.10"
"51","IDP_dMRI_TBSS_MD_Pontine_crossing_tract","IDP.11"
"52","IDP_dMRI_TBSS_MO_Body_of_corpus_callosum","IDP.12"
"53","IDP_dMRI_TBSS_FA_Cingulum_cingulate_gyrus_R","IDP.13"
"54","rfMRI.connectivity..ICA25.edge.157.","rfMRI.7"
"55","IDP_dMRI_ProbtrackX_L3_ar_r","IDP.14"
"56","rfMRI.amplitudes..ICA100.node.15.","rfMRI.8"
"57","rfMRI.connectivity..ICA100.edge.927.","rfMRI.9"
"58","rfMRI.connectivity..ICA25.edge.196.","rfMRI.10"
"59","IDP_T1_SIENAX_brain.unnormalised_volume","IDP.15"
"60","IDP_dMRI_ProbtrackX_MD_str_r","IDP.16"
"61","rfMRI.connectivity..ICA25.edge.153.","rfMRI.11"
"62","IDP_dMRI_TBSS_FA_Inferior_cerebellar_peduncle_L","IDP.17"
"63","IDP_dMRI_TBSS_MD_Medial_lemniscus_L","IDP.18"
"64","IDP_dMRI_TBSS_FA_Fornix_cres.Stria_terminalis_R","IDP.19"
"65","rfMRI.connectivity..ICA25.edge.120.","rfMRI.12"
"66","IDP_dMRI_ProbtrackX_ICVF_ifo_r","IDP.20"
"67","rfMRI.connectivity..ICA25.edge.186.","rfMRI.13"
"68","IDP_T1_SIENAX_CSF_unnormalised_volume","IDP.21"
