Name,Description,50% missing,Type,Nesting,Categories,Encoding,Data.coding,Number.of.categories,Processing,Observations,Flags
46,Hand grip strength (left),0,Discrete,0,Physical measures,,,,,,
46,Hand grip strength (left),0,Discrete,0,Physical measures,Without any negatives,,,,,
47,Hand grip strength (right),0,Discrete,0,Physical measures,,,,,,
47,Hand grip strength (right),0,Discrete,0,Physical measures,Without any negatives,,,,,
48,Waist circumference,0,Continuous,0,Physical measures,,,,,,
49,Hip circumference,0,Continuous,0,Physical measures,,,,,,
50,Standing height,0,Continuous,0,Physical measures,,,,,,
77,Heel bone ultrasound T-score,1,Continuous,0,Physical measures,,,,,,
78,Heel bone mineral density (BMD) T-score,0,Continuous,0,Physical measures,,,,,,
102,Pulse rate,0,Discrete,0,Physical measures,,,,,,
102,Pulse rate,0,Discrete,0,Physical measures,Without any negatives,,,,,
129,Place of birth in UK - north co-ordite,0,Nominal,0,Early life factors,Postscode processed to create coordites on grid at resolution 1km,,many,Remove,,
130,Place of birth in UK - east co-ordite,0,Nominal,0,Early life factors,Postscode processed to create coordites on grid at resolution 1km,,many,Remove,,
189,Townsend deprivation index at recruitment,0,Continuous,0,Early life factors,,,,,,
399,Number of incorrect matches in round,0,Discrete,0,Cognitive function,,,,,,
399,Number of incorrect matches in round,0,Discrete,0,Cognitive function,Without any negatives,,,,,
767,Length of working week for main job,0,Discrete,Employment,Employment - Sociodemographics,,,,,,
777,Frequency of travelling from home to job workplace,0,Discrete,Employment,Employment - Sociodemographics,,,,,,
796,Distance between home and job workplace,0,Discrete,Employment,Employment - Sociodemographics,,,,,,
806,Job involves mainly walking or standing ,0,Ordinal,Employment,Employment - Sociodemographics,,,,,,
806,Job involves mainly walking or standing ,0,Ordinal,Employment,Employment - Sociodemographics,Negative values are missing,100301,4,Decrement by 1 and remove negatives,,
816,Job involves heavy manual or physical work ,0,Ordinal,Employment,Employment - Sociodemographics,,,,,,
816,Job involves heavy manual or physical work ,0,Ordinal,Employment,Employment - Sociodemographics,Negative values are missing,100301,4,Decrement by 1 and remove negatives,,
826,Job involves shift work,0,Ordinal,Employment,Employment - Sociodemographics,,,,,,
826,Job involves shift work,0,Ordinal,Employment,Employment - Sociodemographics,Negative values are missing,100301,4,Decrement by 1 and remove negatives,,
845,Age completed full time education,0,Discrete,0,Education - Sociodemographics,,,,,,
864,Number of days/week walked 10+ minutes,0,Discrete,0,Physical activity - Lifestyle and enrironment,,,,,,
874,Duration of walks,0,Discrete,0,Physical activity - Lifestyle and enrironment,,,,,,
884,Number of days/week of moderate physical activity 10+ minutes,0,Discrete,0,Physical activity - Lifestyle and enrironment,,,,,,
894,Duration of moderate activity,0,Discrete,0,Physical activity - Lifestyle and enrironment,,,,,,
904,Number of days/week of vigorous physical activity 10+ minutes,0,Discrete,0,Physical activity - Lifestyle and enrironment,,,,,,
914,Duration of vigorous activity,0,Discrete,0,Physical activity - Lifestyle and enrironment,,,,,,
