Name,Description,>50% missing,Type,Parent 1,Parent 2,Parent 1 val,Parent 2 val,Categories,Missing values encoding,Data Coding,Databank level encoding,New level encodings,Processing,Observations,Remove
1329,Oily fish intake,0,Ordinal,0,0,0,0,Diet - Lifestyle and environment,Negative values are missing,100377,Same,Same,Only gaussianise,0,0
20003.1,Medication/supplementation - Cod,0,Binary,0,0,0,0,,,,,,,,0
20003.2,Medication/supplementation - Vitamin B,0,Binary,0,0,0,0,,,,,,,,0
20003.3,Medication/supplementation - Omega 3,0,Binary,0,0,0,0,,,,,,,,0
20003.4,Medication/supplementation - B12,0,Binary,0,0,0,0,,,,,,,,0
6155.1,Vitamin Supplements - Vitamin B,0,Binary,0,0,0,0,,,,,,,,0
6155.2,Vitamin Supplements - Folic Acid,0,Binary,0,0,0,0,,,,,,,,0
1239,Current tobacco smoking,0,Ordinal,0,0,0,0,Smoking - Lifestyle and environment,Negative values are missing,100346,Same,Same,Only gaussianise,0,0
1249,Past tobacco smoking,0,Ordinal,1239,0,2#3,0,Smoking - Lifestyle and environment,Negative values are missing,100348,Same,Same,Only gaussianise,0,0
1558,Alcohol intake frequency,0,Ordinal,0,0,0,0,Alcohol - Lifestyle and environment,Negative values are missing,100402,1#2#3#4#5#6,5#4#3#2#1#0,Only gaussianise,0,0
864,Number of days/week walked 10+ minutes,0,Discrete,0,0,0,0,Physical activity - Lifestyle and enrironment,Missing: -1 and -3/ Not applicable: -2,100307,Same,Same,Only gaussianise,0,0
884,Number of days/week of moderate physical activity 10+ minutes,0,Discrete,0,0,0,0,Physical activity - Lifestyle and enrironment,Negative values are missing,100291,Same,Same,Only gaussianise,0,0
904,Number of days/week of vigorous physical activity 10+ minutes,0,Discrete,0,0,0,0,Physical activity - Lifestyle and enrironment,Negative values are missing,100291,Same,Same,Only gaussianise,0,0
1170,Getting up in the morning,0,Ordinal,0,0,0,0,Sleep - Lifestyle and environment,Negative values are missing,100341,1#2#3#4,0#1#2#3,Only gaussianise,0,0
1160,Sleep Duration,0,Discrete,0,0,0,0,Sleep - Lifestyle and environment,Negative values are missing,100291,Same,Same,Only gaussianise,0,0
2080,Frequency of tiredness in last 2 weeks,0,Ordinal,0,0,0,0,,,,,,,,0
2050,Frequency of depressed mood in the last 2 weeks,0,Ordinal,0,0,0,0,,,,,,,,0
21001,Body mass index (BMI),0,Continuous,0,0,0,0,Physical measures,No missing values encoded,0,Same,Same,Only gaussianise,Uses 50 and 21002 for calculation,0
20002,Self-reported hypertension,0,Binary,0,0,0,0,,,,,,,,0
4079,Diastolic blood pressure,0,Discrete,0,0,0,0,Blood pressure - Physical measures,No missing values encoded,0,Same,Same,Only gaussianise,0,0
4080,Systolic blood pressure,0,Discrete,0,0,0,0,Blood pressure - Physical measures,No missing values encoded,0,Same,Same,Only gaussianise,0,0
